,regulator,gene_id,effect
574,argP,b1761,+
575,argP,b2156,+
576,argP,b2234,+
577,argP,b2235,+
578,argP,b2236,+
579,argP,b2838,+
580,argP,b2916,-
581,argP,b2923,+
582,argP,b3700,+
583,argP,b3701,+
584,argP,b3702,+
585,argP,b4024,+
586,argR,b0032,-
587,argR,b0033,-
588,argR,b0045,+
589,argR,b0095,-
590,argR,b0112,+
591,argR,b0240,-
592,argR,b0273,-
593,argR,b0300,+
594,argR,b0315,+-
595,argR,b0709,+-
596,argR,b0812,-
597,argR,b0839,-
598,argR,b0854,-
599,argR,b0855,-
600,argR,b0856,-
601,argR,b0857,-
602,argR,b0860,-
603,argR,b0861,-
604,argR,b0862,-
605,argR,b0863,-
606,argR,b0864,-
607,argR,b0874,-
608,argR,b0923,-
609,argR,b0924,-
610,argR,b0942,+-
611,argR,b0943,+-
612,argR,b0944,+-
613,argR,b1221,+-
614,argR,b1301,+
615,argR,b1302,+
616,argR,b1498,+-
617,argR,b1605,-
618,argR,b1606,-
619,argR,b1723,-
620,argR,b1744,+
621,argR,b1745,+
622,argR,b1746,+
623,argR,b1747,+
624,argR,b1748,+
625,argR,b1786,+-
626,argR,b1967,-
627,argR,b1977,+-
628,argR,b2018,-
629,argR,b2019,-
630,argR,b2020,-
631,argR,b2021,-
632,argR,b2022,-
633,argR,b2023,-
634,argR,b2024,-
635,argR,b2025,-
636,argR,b2026,-
637,argR,b2151,+
638,argR,b2298,-
639,argR,b2306,-
640,argR,b2307,-
641,argR,b2308,-
642,argR,b2309,-
643,argR,b2311,-
644,argR,b2312,-
645,argR,b2313,-
646,argR,b2443,+-
647,argR,b2457,+
648,argR,b2458,+
649,argR,b2459,+
650,argR,b2460,+
651,argR,b2461,+
652,argR,b2462,+
653,argR,b2471,+
654,argR,b2472,+
655,argR,b2536,+-
656,argR,b2666,-
657,argR,b2669,-
658,argR,b2818,-
659,argR,b3018,+
660,argR,b3151,+-
661,argR,b3164,-
662,argR,b3165,-
663,argR,b3166,-
664,argR,b3167,-
665,argR,b3168,-
666,argR,b3169,-
667,argR,b3170,-
668,argR,b3172,-
669,argR,b3176,-
670,argR,b3212,-
671,argR,b3213,-
672,argR,b3214,-
673,argR,b3237,-
674,argR,b3249,-
675,argR,b3250,-
676,argR,b3251,-
677,argR,b3359,-
678,argR,b3384,-
679,argR,b3385,-
680,argR,b3386,-
681,argR,b3387,-
682,argR,b3388,-
683,argR,b3389,-
684,argR,b3390,-
685,argR,b3625,-
686,argR,b3628,-
687,argR,b3630,-
688,argR,b3631,-
689,argR,b3632,-
690,argR,b3731,-
691,argR,b3732,-
692,argR,b3733,-
693,argR,b3734,-
694,argR,b3735,-
695,argR,b3736,-
696,argR,b3737,-
697,argR,b3738,-
698,argR,b3739,-
699,argR,b3957,-
700,argR,b3958,-
701,argR,b3959,-
702,argR,b3960,-
703,argR,b4077,+
704,argR,b4092,+
705,argR,b4093,+
706,argR,b4094,+
707,argR,b4244,-
708,argR,b4245,-
709,argR,b4246,-
710,argR,b4254,-
711,argR,b4547,+
712,argR,b4678,+-
713,arsR,b3501,-
714,arsR,b3502,-
715,arsR,b3503,-
716,ascG,b0330,-
717,ascG,b0473,-
718,ascG,b0820,-
719,ascG,b2716,-
720,asnC,b3741,-
721,asnC,b3742,-
722,asnC,b3743,-
723,asnC,b3744,+
724,atoC,b2221,+
725,atoC,b2222,+
726,atoC,b2223,+
727,atoC,b2224,+
728,bCCP,b3255,-
729,bCCP,b3256,-
730,baeR,b1743,+
731,baeR,b2074,+
732,baeR,b2075,+
733,baeR,b2076,+
734,baeR,b2077,+
735,baeR,b2078,+
736,baeR,b2079,+
737,baeR,b2470,+
738,basR,b0460,+
739,basR,b0461,+
740,basR,b1014,-
741,basR,b1037,+
742,basR,b1038,+
743,basR,b1039,+
744,basR,b1040,+
745,basR,b1552,+
746,basR,b3025,+
747,basR,b3026,+
748,basR,b3207,-
749,basR,b4042,+
750,basR,b4312,+
751,betI,b0311,-
752,betI,b0312,-
753,betI,b0313,-
754,betI,b0314,-
755,birA,b0774,-
756,birA,b0775,-
757,birA,b0776,-
758,birA,b0777,-
759,birA,b0778,-
760,bluR,b1164,-
761,bluR,b1165,-
762,bluR,b1166,-
763,bluR,b1167,-
764,bolA,b0839,+-
765,bolA,b4150,+-
766,btsR,b4354,+
767,cadC,b4131,+
768,cadC,b4132,+
769,cadC,b4133,+
770,caiF,b0035,+
771,caiF,b0036,+
772,caiF,b0037,+
773,caiF,b0038,+
774,caiF,b0039,+
775,caiF,b0040,+
776,caiF,b0041,+
777,caiF,b0042,+
778,caiF,b0043,+
779,caiF,b0044,+
780,cbl,b0365,+
781,cbl,b0366,+
782,cbl,b0367,+
783,cbl,b0368,+
784,cbl,b0933,+
785,cbl,b0934,+
786,cbl,b0935,+
787,cbl,b0936,+
788,cbl,b0937,+
789,cdaR,b0162,+
790,cdaR,b2787,+
791,cdaR,b2788,+
792,cdaR,b2789,+
793,cdaR,b3124,+
794,cdaR,b3125,+
795,cdaR,b3126,+
796,cdaR,b3127,+
797,cdaR,b3128,+
798,cecR,b0792,-
799,cecR,b0793,-
800,cecR,b0794,-
801,cecR,b0795,-
802,cecR,b0796,-
803,chbR,b1733,+-
804,chbR,b1734,+-
805,chbR,b1735,+-
806,chbR,b1736,+-
807,chbR,b1737,+-
808,chbR,b1738,+-
809,comR,b1112,-
810,cpxR,b0161,+
811,cpxR,b0178,+
812,cpxR,b0179,+
813,cpxR,b0180,+
814,cpxR,b0181,+
815,cpxR,b0377,+
816,cpxR,b0378,+
817,cpxR,b0441,+
818,cpxR,b0460,+
819,cpxR,b0461,+
820,cpxR,b0754,+
821,cpxR,b0925,+
822,cpxR,b0929,-
823,cpxR,b0970,+
824,cpxR,b1037,-
825,cpxR,b1038,-
826,cpxR,b1039,-
827,cpxR,b1040,-
828,cpxR,b1041,-
829,cpxR,b1042,-
830,cpxR,b1043,-
831,cpxR,b1113,+
832,cpxR,b1530,+
833,cpxR,b1531,+
834,cpxR,b1532,+
835,cpxR,b1535,+
836,cpxR,b1743,+
837,cpxR,b1846,+
838,cpxR,b1887,-
839,cpxR,b1888,-
840,cpxR,b1889,-
841,cpxR,b1890,-
842,cpxR,b1902,+
843,cpxR,b2074,+
844,cpxR,b2075,+
845,cpxR,b2076,+
846,cpxR,b2077,+
847,cpxR,b2078,+
848,cpxR,b2079,+
849,cpxR,b2215,+
850,cpxR,b2470,+
851,cpxR,b2570,-
852,cpxR,b2571,-
853,cpxR,b2572,-
854,cpxR,b2573,-
855,cpxR,b2580,-
856,cpxR,b2617,-
857,cpxR,b2665,+
858,cpxR,b2666,+
859,cpxR,b2893,+
860,cpxR,b3057,+
861,cpxR,b3095,+
862,cpxR,b3096,+
863,cpxR,b3363,+
864,cpxR,b3461,+
865,cpxR,b3688,+
866,cpxR,b3859,+
867,cpxR,b3860,+
868,cpxR,b3911,+
869,cpxR,b3912,+
870,cpxR,b4159,-
871,cpxR,b4160,-
872,cpxR,b4355,-
873,cpxR,b4392,+
874,cpxR,b4484,+
875,cra,b0070,-
876,cra,b0112,+
877,cra,b0113,-
878,cra,b0114,-
879,cra,b0115,-
880,cra,b0116,-
881,cra,b0118,+-
882,cra,b0311,+
883,cra,b0312,+
884,cra,b0313,+
885,cra,b0314,+
886,cra,b0315,+-
887,cra,b0331,-
888,cra,b0333,-
889,cra,b0334,-
890,cra,b0335,-
891,cra,b0428,+-
892,cra,b0429,+-
893,cra,b0430,+-
894,cra,b0431,+-
895,cra,b0432,+-
896,cra,b0733,+
897,cra,b0734,+
898,cra,b0871,+
899,cra,b0933,-
900,cra,b0934,-
901,cra,b0935,-
902,cra,b0936,-
903,cra,b0937,-
904,cra,b1037,+
905,cra,b1038,+
906,cra,b1039,+
907,cra,b1040,+
908,cra,b1136,+
909,cra,b1235,+
910,cra,b1241,-
911,cra,b1242,-
912,cra,b1276,+
913,cra,b1530,-
914,cra,b1531,-
915,cra,b1532,-
916,cra,b1675,-
917,cra,b1676,-
918,cra,b1702,+
919,cra,b1703,+
920,cra,b1778,+
921,cra,b1779,-
922,cra,b1780,-
923,cra,b1817,+-
924,cra,b1818,+-
925,cra,b1819,+-
926,cra,b1850,-
927,cra,b1851,-
928,cra,b1852,-
929,cra,b2007,+
930,cra,b2019,+-
931,cra,b2020,+-
932,cra,b2021,+-
933,cra,b2022,+-
934,cra,b2023,+-
935,cra,b2024,+-
936,cra,b2025,+-
937,cra,b2026,+-
938,cra,b2074,+
939,cra,b2075,+
940,cra,b2076,+
941,cra,b2077,+
942,cra,b2078,+
943,cra,b2079,+
944,cra,b2097,-
945,cra,b2167,-
946,cra,b2168,-
947,cra,b2169,-
948,cra,b2276,+
949,cra,b2277,+
950,cra,b2278,+
951,cra,b2279,+
952,cra,b2280,+
953,cra,b2281,+
954,cra,b2282,+
955,cra,b2283,+
956,cra,b2284,+
957,cra,b2285,+
958,cra,b2286,+
959,cra,b2287,+
960,cra,b2288,+
961,cra,b2388,+-
962,cra,b2415,+-
963,cra,b2416,+-
964,cra,b2417,+-
965,cra,b2597,+-
966,cra,b2673,-
967,cra,b2674,-
968,cra,b2675,-
969,cra,b2676,-
970,cra,b2712,-
971,cra,b2779,-
972,cra,b2925,-
973,cra,b2926,-
974,cra,b2927,-
975,cra,b2980,-
976,cra,b3357,+
977,cra,b3365,-
978,cra,b3366,-
979,cra,b3367,-
980,cra,b3368,-
981,cra,b3376,-
982,cra,b3377,-
983,cra,b3378,-
984,cra,b3379,-
985,cra,b3380,-
986,cra,b3381,-
987,cra,b3403,+
988,cra,b3476,+
989,cra,b3477,+
990,cra,b3478,+
991,cra,b3479,+
992,cra,b3480,+
993,cra,b3481,+
994,cra,b3599,-
995,cra,b3600,-
996,cra,b3601,-
997,cra,b3612,-
998,cra,b3613,-
999,cra,b3614,-
1000,cra,b3829,+
1001,cra,b3916,-
1002,cra,b3919,-
1003,cra,b3956,-
1004,cra,b4014,+
1005,cra,b4015,+
1006,cra,b4016,+
1007,cra,b4232,+
1008,cra,b4233,-
1009,cra,b4239,+
1010,cra,b4240,+
1011,cra,b4662,-
1012,creB,b2464,+
1013,creB,b4032,-
1014,creB,b4033,-
1015,creB,b4034,-
1016,creB,b4400,+
1017,crp,b0001,-
1018,crp,b0002,+-
1019,crp,b0003,+-
1020,crp,b0004,+-
1021,crp,b0034,+
1022,crp,b0035,+
1023,crp,b0036,+
1024,crp,b0037,+
1025,crp,b0038,+
1026,crp,b0039,+
1027,crp,b0040,+
1028,crp,b0041,+
1029,crp,b0042,+
1030,crp,b0043,+
1031,crp,b0044,+
1032,crp,b0061,+
1033,crp,b0062,+
1034,crp,b0063,+
1035,crp,b0064,+
1036,crp,b0106,+
1037,crp,b0107,+
1038,crp,b0108,+
1039,crp,b0109,+
1040,crp,b0110,-
1041,crp,b0111,-
1042,crp,b0113,+
1043,crp,b0114,+
1044,crp,b0115,+
1045,crp,b0116,+-
1046,crp,b0118,+
1047,crp,b0124,-
1048,crp,b0125,+
1049,crp,b0127,+-
1050,crp,b0128,+-
1051,crp,b0129,-
1052,crp,b0145,+
1053,crp,b0146,+
1054,crp,b0189,-
1055,crp,b0190,-
1056,crp,b0191,-
1057,crp,b0192,-
1058,crp,b0330,+
1059,crp,b0331,+
1060,crp,b0333,+
1061,crp,b0334,+
1062,crp,b0335,+
1063,crp,b0342,+-
1064,crp,b0343,+-
1065,crp,b0344,+-
1066,crp,b0345,+
1067,crp,b0346,+
1068,crp,b0347,+
1069,crp,b0348,+
1070,crp,b0349,+
1071,crp,b0350,+
1072,crp,b0351,+
1073,crp,b0352,+
1074,crp,b0379,+
1075,crp,b0380,-
1076,crp,b0396,+-
1077,crp,b0411,+-
1078,crp,b0428,+
1079,crp,b0429,+
1080,crp,b0430,+
1081,crp,b0431,+
1082,crp,b0432,+
1083,crp,b0440,+
1084,crp,b0553,-
1085,crp,b0583,+
1086,crp,b0584,+
1087,crp,b0593,+
1088,crp,b0594,+
1089,crp,b0595,+
1090,crp,b0596,+
1091,crp,b0597,+
1092,crp,b0598,+-
1093,crp,b0610,-
1094,crp,b0613,-
1095,crp,b0614,-
1096,crp,b0615,-
1097,crp,b0616,-
1098,crp,b0617,-
1099,crp,b0618,-
1100,crp,b0619,-
1101,crp,b0620,-
1102,crp,b0623,+-
1103,crp,b0675,+-
1104,crp,b0676,+-
1105,crp,b0677,+-
1106,crp,b0678,+-
1107,crp,b0679,+-
1108,crp,b0681,+
1109,crp,b0682,+
1110,crp,b0683,+
1111,crp,b0720,+-
1112,crp,b0721,+-
1113,crp,b0722,+-
1114,crp,b0723,+-
1115,crp,b0724,+-
1116,crp,b0726,+-
1117,crp,b0727,+-
1118,crp,b0728,+-
1119,crp,b0729,+-
1120,crp,b0753,+
1121,crp,b0756,+-
1122,crp,b0757,+-
1123,crp,b0758,+-
1124,crp,b0759,+-
1125,crp,b0763,+
1126,crp,b0764,+
1127,crp,b0765,+
1128,crp,b0805,+
1129,crp,b0815,-
1130,crp,b0819,+-
1131,crp,b0820,+-
1132,crp,b0880,+-
1133,crp,b0881,+-
1134,crp,b0882,+
1135,crp,b0903,+
1136,crp,b0904,+
1137,crp,b0907,-
1138,crp,b0908,-
1139,crp,b0929,+
1140,crp,b0931,-
1141,crp,b0953,+
1142,crp,b0957,+
1143,crp,b0959,+
1144,crp,b1002,+
1145,crp,b1015,-
1146,crp,b1036,+-
1147,crp,b1037,+
1148,crp,b1038,+
1149,crp,b1039,+
1150,crp,b1040,+
1151,crp,b1101,+-
1152,crp,b1111,-
1153,crp,b1112,-
1154,crp,b1182,+
1155,crp,b1189,+-
1156,crp,b1190,+-
1157,crp,b1205,+-
1158,crp,b1235,-
1159,crp,b1256,-
1160,crp,b1272,-
